team_name,league,country,coach_name,staff_url,staff_dob,staff_nationality,staff_nationality_secondary,appointed,end_date,days_in_post,matches,wins,draws,losses
Lille,Ligue 1,France,Paulo Fonseca,https://www.transfermarkt.com/paulo-fonseca/profil/trainer/19944,"Mar 5, 1973",Portugal,Mozambique,2022-07-01,,586,72,38,21,13
Lille,Ligue 1,France,Jocelyn Gourvennec,https://www.transfermarkt.com/jocelyn-gourvennec/profil/trainer/14011,"Mar 22, 1972",France,,2021-07-05,2022-06-16,346,49,19,15,15
Lille,Ligue 1,France,Christophe Galtier,https://www.transfermarkt.com/christophe-galtier/profil/trainer/5035,"Aug 23, 1966",France,,2017-12-29,2021-06-30,1279,152,78,31,43
Marseille,Ligue 1,France,Igor Tudor,https://www.transfermarkt.com/igor-tudor/profil/trainer/28632,"Apr 16, 1978",Croatia,,2022-07-04,2023-06-30,361,48,27,7,14
Marseille,Ligue 1,France,Jorge Sampaoli,https://www.transfermarkt.com/jorge-sampaoli/profil/trainer/10819,"Mar 13, 1960",Argentina,,2021-03-08,2022-07-01,480,67,37,16,14
Marseille,Ligue 1,France,André Villas-Boas,https://www.transfermarkt.com/andre-villas-boas/profil/trainer/1696,"Oct 17, 1977",Portugal,,2019-07-01,2021-02-02,582,60,29,13,18
Marseille,Ligue 1,France,Rudi Garcia,https://www.transfermarkt.com/rudi-garcia/profil/trainer/1537,"Feb 20, 1964",France,,2016-10-20,2019-06-30,983,142,69,31,42
Nice,Ligue 1,France,Lucien Favre,https://www.transfermarkt.com/lucien-favre/profil/trainer/535,"Nov 2, 1957",Switzerland,,2022-07-01,2023-01-09,192,26,8,9,9
Nice,Ligue 1,France,Christophe Galtier,https://www.transfermarkt.com/christophe-galtier/profil/trainer/5035,"Aug 23, 1966",France,,2021-07-01,2022-06-30,364,43,24,7,12
Nice,Ligue 1,France,Adrian Ursea,https://www.transfermarkt.com/adrian-ursea/profil/trainer/1450,"Sep 14, 1967",Romania,,2020-12-04,2021-05-24,171,30,11,5,14
Nice,Ligue 1,France,Patrick Vieira,https://www.transfermarkt.com/patrick-vieira/profil/trainer/20029,"Jun 23, 1976",France,Senegal,2018-07-01,2020-12-04,887,89,35,21,33
Nice,Ligue 1,France,Lucien Favre,https://www.transfermarkt.com/lucien-favre/profil/trainer/535,"Nov 2, 1957",Switzerland,,2016-07-01,2018-06-30,729,99,43,23,33
Rennes,Ligue 1,France,Bruno Génésio,https://www.transfermarkt.com/bruno-genesio/profil/trainer/5036,"Sep 1, 1966",France,,2021-03-04,2023-11-19,990,124,63,25,36
Rennes,Ligue 1,France,Julien Stéphan,https://www.transfermarkt.com/julien-stephan/profil/trainer/61003,"Sep 18, 1980",France,,2018-12-04,2021-03-01,818,110,49,24,37
Rennes,Ligue 1,France,Sabri Lamouchi,https://www.transfermarkt.com/sabri-lamouchi/profil/trainer/24207,"Nov 9, 1971",France,Tunisia,2017-11-08,2018-12-03,390,50,20,12,18
Nantes,Ligue 1,France,Antoine Kombouaré,https://www.transfermarkt.com/antoine-kombouare/profil/trainer/1224,"Nov 16, 1963",France,Neukaledonien,2021-02-11,2023-05-09,817,109,42,28,39
Nantes,Ligue 1,France,Raymond Domenech,https://www.transfermarkt.com/raymond-domenech/profil/trainer/1727,"Jan 24, 1952",France,,2020-12-26,2021-02-10,46,8,0,4,4
Nantes,Ligue 1,France,Christian Gourcuff,https://www.transfermarkt.com/christian-gourcuff/profil/trainer/1539,"Apr 5, 1955",France,,2019-08-08,2020-12-08,488,45,16,8,21
Nantes,Ligue 1,France,Vahid Halilhodzic,https://www.transfermarkt.com/vahid-halilhodzic/profil/trainer/1231,"Oct 15, 1952",Bosnia-Herzegovina,France,2018-10-02,2019-08-02,304,37,17,6,14
Nantes,Ligue 1,France,Miguel Cardoso,https://www.transfermarkt.com/miguel-cardoso/profil/trainer/11664,"May 28, 1972",Portugal,,2018-06-13,2018-10-02,111,8,1,3,4
