"League","Country","Season","Date","Home","HomeGoals","Away","AwayGoals"
"Premier League","ENG","2018","2017-08-11","Arsenal","4","Leicester City","3"
"Premier League","ENG","2018","2017-08-12","Watford","3","Liverpool","3"
"Premier League","ENG","2018","2017-08-12","Crystal Palace","0","Huddersfield","3"
"Premier League","ENG","2018","2017-08-12","West Brom","1","Bournemouth","0"
"Premier League","ENG","2018","2017-08-12","Chelsea","2","Burnley","3"
"Premier League","ENG","2018","2017-08-12","Everton","1","Stoke City","0"
"Premier League","ENG","2018","2017-08-12","Southampton","0","Swansea City","0"
"Premier League","ENG","2018","2017-08-12","Brighton","0","Manchester City","2"
"Premier League","ENG","2018","2017-08-13","Newcastle Utd","0","Tottenham","2"
"Premier League","ENG","2018","2017-08-13","Manchester Utd","4","West Ham","0"
"Premier League","ENG","2018","2017-10-28","Manchester Utd","1","Tottenham","0"
"Premier League","ENG","2018","2017-10-28","Arsenal","2","Swansea City","1"
"Premier League","ENG","2018","2017-10-28","Crystal Palace","2","West Ham","2"
"Premier League","ENG","2018","2017-10-28","Watford","0","Stoke City","1"
"Premier League","ENG","2018","2017-10-28","Liverpool","3","Huddersfield","0"
"Premier League","ENG","2018","2017-10-28","West Brom","2","Manchester City","3"
"Premier League","ENG","2018","2017-10-28","Bournemouth","0","Chelsea","1"
"Premier League","ENG","2018","2017-10-29","Brighton","1","Southampton","1"
"Premier League","ENG","2018","2017-10-29","Leicester City","2","Everton","0"
"Premier League","ENG","2018","2017-10-30","Burnley","1","Newcastle Utd","0"
"Premier League","ENG","2018","2017-11-04","Stoke City","2","Leicester City","2"
"Premier League","ENG","2018","2017-11-04","Southampton","0","Burnley","1"
"Premier League","ENG","2018","2017-11-04","Swansea City","0","Brighton","1"
"Premier League","ENG","2018","2017-11-04","Huddersfield","1","West Brom","0"
"Premier League","ENG","2018","2017-11-04","Newcastle Utd","0","Bournemouth","1"
"Premier League","ENG","2018","2017-11-04","West Ham","1","Liverpool","4"
"Premier League","ENG","2018","2017-11-05","Tottenham","1","Crystal Palace","0"
"Premier League","ENG","2018","2017-11-05","Manchester City","3","Arsenal","1"
"Premier League","ENG","2018","2017-11-05","Everton","3","Watford","2"
"Premier League","ENG","2018","2017-11-05","Chelsea","1","Manchester Utd","0"
"Premier League","ENG","2018","2017-11-18","Arsenal","2","Tottenham","0"
"Premier League","ENG","2018","2017-11-18","West Brom","0","Chelsea","4"
"Premier League","ENG","2018","2017-11-18","Bournemouth","4","Huddersfield","0"
"Premier League","ENG","2018","2017-11-18","Liverpool","3","Southampton","0"
"Premier League","ENG","2018","2017-11-18","Burnley","2","Swansea City","0"
"Premier League","ENG","2018","2017-11-18","Crystal Palace","2","Everton","2"
"Premier League","ENG","2018","2017-11-18","Leicester City","0","Manchester City","2"
"Premier League","ENG","2018","2017-11-18","Manchester Utd","4","Newcastle Utd","1"
"Premier League","ENG","2018","2017-11-19","Watford","2","West Ham","0"
"Premier League","ENG","2018","2017-11-20","Brighton","2","Stoke City","2"
"Premier League","ENG","2018","2017-11-24","West Ham","1","Leicester City","1"
"Premier League","ENG","2018","2017-11-25","Tottenham","1","West Brom","1"
"Premier League","ENG","2018","2017-11-25","Manchester Utd","1","Brighton","0"
"Premier League","ENG","2018","2017-11-25","Swansea City","0","Bournemouth","0"
"Premier League","ENG","2018","2017-11-25","Crystal Palace","2","Stoke City","1"
"Premier League","ENG","2018","2017-11-25","Newcastle Utd","0","Watford","3"
"Premier League","ENG","2018","2017-11-25","Liverpool","1","Chelsea","1"
"Premier League","ENG","2018","2017-11-26","Southampton","4","Everton","1"
"Premier League","ENG","2018","2017-11-26","Burnley","0","Arsenal","1"
"Premier League","ENG","2018","2017-11-26","Huddersfield","1","Manchester City","2"
"Premier League","ENG","2018","2017-11-28","Brighton","0","Crystal Palace","0"
"Premier League","ENG","2018","2017-11-28","Leicester City","2","Tottenham","1"
"Premier League","ENG","2018","2017-11-28","Watford","2","Manchester Utd","4"
"Premier League","ENG","2018","2017-11-28","West Brom","2","Newcastle Utd","2"
"Premier League","ENG","2018","2017-11-29","Chelsea","1","Swansea City","0"
"Premier League","ENG","2018","2017-11-29","Bournemouth","1","Burnley","2"
"Premier League","ENG","2018","2017-11-29","Arsenal","5","Huddersfield","0"
"Premier League","ENG","2018","2017-11-29","Stoke City","0","Liverpool","3"
"Premier League","ENG","2018","2017-11-29","Everton","4","West Ham","0"
"Premier League","ENG","2018","2017-11-29","Manchester City","2","Southampton","1"
"Premier League","ENG","2018","2017-12-02","Chelsea","3","Newcastle Utd","1"
"Premier League","ENG","2018","2017-12-02","Watford","1","Tottenham","1"
"Premier League","ENG","2018","2017-12-02","West Brom","0","Crystal Palace","0"
"Premier League","ENG","2018","2017-12-02","Stoke City","2","Swansea City","1"
"Premier League","ENG","2018","2017-12-02","Brighton","1","Liverpool","5"
"Premier League","ENG","2018","2017-12-02","Everton","2","Huddersfield","0"
"Premier League","ENG","2018","2017-12-02","Leicester City","1","Burnley","0"
"Premier League","ENG","2018","2017-12-02","Arsenal","1","Manchester Utd","3"
"Premier League","ENG","2018","2017-12-03","Bournemouth","1","Southampton","1"
"Premier League","ENG","2018","2017-12-03","Manchester City","2","West Ham","1"
"Premier League","ENG","2018","2017-12-09","West Ham","1","Chelsea","0"
"Premier League","ENG","2018","2017-12-09","Huddersfield","2","Brighton","0"
"Premier League","ENG","2018","2017-12-09","Crystal Palace","2","Bournemouth","2"
"Premier League","ENG","2018","2017-12-09","Tottenham","5","Stoke City","1"
"Premier League","ENG","2018","2017-12-09","Burnley","1","Watford","0"
"Premier League","ENG","2018","2017-12-09","Swansea City","1","West Brom","0"
"Premier League","ENG","2018","2017-12-09","Newcastle Utd","2","Leicester City","3"
"Premier League","ENG","2018","2017-12-10","Southampton","1","Arsenal","1"
"Premier League","ENG","2018","2017-12-10","Liverpool","1","Everton","1"
"Premier League","ENG","2018","2017-12-10","Manchester Utd","1","Manchester City","2"
"Premier League","ENG","2018","2017-12-12","Burnley","1","Stoke City","0"
"Premier League","ENG","2018","2017-12-12","Crystal Palace","2","Watford","1"
"Premier League","ENG","2018","2017-12-12","Huddersfield","1","Chelsea","3"
"Premier League","ENG","2018","2017-12-13","Newcastle Utd","0","Everton","1"
"Premier League","ENG","2018","2017-12-13","Southampton","1","Leicester City","4"
"Premier League","ENG","2018","2017-12-13","Swansea City","0","Manchester City","4"
"Premier League","ENG","2018","2017-12-13","Liverpool","0","West Brom","0"
"Premier League","ENG","2018","2017-12-13","West Ham","0","Arsenal","0"
"Premier League","ENG","2018","2017-12-13","Tottenham","2","Brighton","0"
"Premier League","ENG","2018","2017-12-13","Manchester Utd","1","Bournemouth","0"
"Premier League","ENG","2018","2017-12-16","Leicester City","0","Crystal Palace","3"
"Premier League","ENG","2018","2017-12-16","Watford","1","Huddersfield","4"
"Premier League","ENG","2018","2017-12-16","Arsenal","1","Newcastle Utd","0"
"Premier League","ENG","2018","2017-12-16","Brighton","0","Burnley","0"
"Premier League","ENG","2018","2017-12-16","Chelsea","1","Southampton","0"
"Premier League","ENG","2018","2017-12-16","Stoke City","0","West Ham","3"
"Premier League","ENG","2018","2017-12-16","Manchester City","4","Tottenham","1"
"Premier League","ENG","2018","2017-12-17","West Brom","1","Manchester Utd","2"
"Premier League","ENG","2018","2017-12-17","Bournemouth","0","Liverpool","4"
"Premier League","ENG","2018","2017-12-18","Everton","3","Swansea City","1"
"Premier League","ENG","2018","2017-12-22","Arsenal","3","Liverpool","3"
"Premier League","ENG","2018","2017-12-23","Everton","0","Chelsea","0"
"Premier League","ENG","2018","2017-12-23","Stoke City","3","West Brom","1"
"Premier League","ENG","2018","2017-12-23","Brighton","1","Watford","0"
"Premier League","ENG","2018","2017-12-23","Swansea City","1","Crystal Palace","1"
"Premier League","ENG","2018","2017-12-23","Southampton","1","Huddersfield","1"
"Premier League","ENG","2018","2017-12-23","Manchester City","4","Bournemouth","0"
"Premier League","ENG","2018","2017-12-23","West Ham","2","Newcastle Utd","3"
"Premier League","ENG","2018","2017-12-23","Burnley","0","Tottenham","3"
"Premier League","ENG","2018","2017-12-23","Leicester City","2","Manchester Utd","2"
"Premier League","ENG","2018","2017-08-19","Swansea City","0","Manchester Utd","4"
"Premier League","ENG","2018","2017-08-19","Bournemouth","0","Watford","2"
"Premier League","ENG","2018","2017-08-19","Southampton","3","West Ham","2"
"Premier League","ENG","2018","2017-08-19","Leicester City","2","Brighton","0"
"Premier League","ENG","2018","2017-08-19","Burnley","0","West Brom","1"
"Premier League","ENG","2018","2017-08-19","Liverpool","1","Crystal Palace","0"
"Premier League","ENG","2018","2017-08-19","Stoke City","1","Arsenal","0"
"Premier League","ENG","2018","2017-08-20","Huddersfield","1","Newcastle Utd","0"
"Premier League","ENG","2018","2017-08-20","Tottenham","1","Chelsea","2"
"Premier League","ENG","2018","2017-08-21","Manchester City","1","Everton","1"
"Premier League","ENG","2018","2017-12-26","Tottenham","5","Southampton","2"
"Premier League","ENG","2018","2017-12-26","Bournemouth","3","West Ham","3"
"Premier League","ENG","2018","2017-12-26","Watford","2","Leicester City","1"
"Premier League","ENG","2018","2017-12-26","West Brom","0","Everton","0"
"Premier League","ENG","2018","2017-12-26","Manchester Utd","2","Burnley","2"
"Premier League","ENG","2018","2017-12-26","Huddersfield","1","Stoke City","1"
"Premier League","ENG","2018","2017-12-26","Chelsea","2","Brighton","0"
"Premier League","ENG","2018","2017-12-26","Liverpool","5","Swansea City","0"
"Premier League","ENG","2018","2017-12-27","Newcastle Utd","0","Manchester City","1"
"Premier League","ENG","2018","2017-12-28","Crystal Palace","2","Arsenal","3"
"Premier League","ENG","2018","2017-12-30","Huddersfield","0","Burnley","0"
"Premier League","ENG","2018","2017-12-30","Chelsea","5","Stoke City","0"
"Premier League","ENG","2018","2017-12-30","Bournemouth","2","Everton","1"
"Premier League","ENG","2018","2017-12-30","Liverpool","2","Leicester City","1"
"Premier League","ENG","2018","2017-12-30","Watford","1","Swansea City","2"
"Premier League","ENG","2018","2017-12-30","Newcastle Utd","0","Brighton","0"
"Premier League","ENG","2018","2017-12-30","Manchester Utd","0","Southampton","0"
"Premier League","ENG","2018","2017-12-31","Crystal Palace","0","Manchester City","0"
"Premier League","ENG","2018","2017-12-31","West Brom","1","Arsenal","1"
"Premier League","ENG","2018","2018-01-04","Tottenham","1","West Ham","1"
"Premier League","ENG","2018","2018-01-01","Brighton","2","Bournemouth","2"
"Premier League","ENG","2018","2018-01-01","Leicester City","3","Huddersfield","0"
"Premier League","ENG","2018","2018-01-01","Burnley","1","Liverpool","2"
"Premier League","ENG","2018","2018-01-01","Stoke City","0","Newcastle Utd","1"
"Premier League","ENG","2018","2018-01-01","Everton","0","Manchester Utd","2"
"Premier League","ENG","2018","2018-01-02","West Ham","2","West Brom","1"
"Premier League","ENG","2018","2018-01-02","Swansea City","0","Tottenham","2"
"Premier League","ENG","2018","2018-01-02","Southampton","1","Crystal Palace","2"
"Premier League","ENG","2018","2018-01-02","Manchester City","3","Watford","1"
"Premier League","ENG","2018","2018-01-03","Arsenal","2","Chelsea","2"
"Premier League","ENG","2018","2018-01-13","Newcastle Utd","1","Swansea City","1"
"Premier League","ENG","2018","2018-01-13","Crystal Palace","1","Burnley","0"
"Premier League","ENG","2018","2018-01-13","Chelsea","0","Leicester City","0"
"Premier League","ENG","2018","2018-01-13","Huddersfield","1","West Ham","4"
"Premier League","ENG","2018","2018-01-13","West Brom","2","Brighton","0"
"Premier League","ENG","2018","2018-01-13","Watford","2","Southampton","2"
"Premier League","ENG","2018","2018-01-13","Tottenham","4","Everton","0"
"Premier League","ENG","2018","2018-01-14","Bournemouth","2","Arsenal","1"
"Premier League","ENG","2018","2018-01-14","Liverpool","4","Manchester City","3"
"Premier League","ENG","2018","2018-01-15","Manchester Utd","3","Stoke City","0"
"Premier League","ENG","2018","2018-01-20","Brighton","0","Chelsea","4"
"Premier League","ENG","2018","2018-01-20","Everton","1","West Brom","1"
"Premier League","ENG","2018","2018-01-20","Leicester City","2","Watford","0"
"Premier League","ENG","2018","2018-01-20","Stoke City","2","Huddersfield","0"
"Premier League","ENG","2018","2018-01-20","Arsenal","4","Crystal Palace","1"
"Premier League","ENG","2018","2018-01-20","West Ham","1","Bournemouth","1"
"Premier League","ENG","2018","2018-01-20","Burnley","0","Manchester Utd","1"
"Premier League","ENG","2018","2018-01-20","Manchester City","3","Newcastle Utd","1"
"Premier League","ENG","2018","2018-01-21","Southampton","1","Tottenham","1"
"Premier League","ENG","2018","2018-01-22","Swansea City","1","Liverpool","0"
"Premier League","ENG","2018","2018-01-30","West Ham","1","Crystal Palace","1"
"Premier League","ENG","2018","2018-01-30","Swansea City","3","Arsenal","1"
"Premier League","ENG","2018","2018-01-30","Huddersfield","0","Liverpool","3"
"Premier League","ENG","2018","2018-01-31","Southampton","1","Brighton","1"
"Premier League","ENG","2018","2018-01-31","Chelsea","0","Bournemouth","3"
"Premier League","ENG","2018","2018-01-31","Everton","2","Leicester City","1"
"Premier League","ENG","2018","2018-01-31","Newcastle Utd","1","Burnley","1"
"Premier League","ENG","2018","2018-01-31","Stoke City","0","Watford","0"
"Premier League","ENG","2018","2018-01-31","Manchester City","3","West Brom","0"
"Premier League","ENG","2018","2018-01-31","Tottenham","2","Manchester Utd","0"
"Premier League","ENG","2018","2018-02-03","Burnley","1","Manchester City","1"
"Premier League","ENG","2018","2018-02-03","West Brom","2","Southampton","3"
"Premier League","ENG","2018","2018-02-03","Bournemouth","2","Stoke City","1"
"Premier League","ENG","2018","2018-02-03","Manchester Utd","2","Huddersfield","0"
"Premier League","ENG","2018","2018-02-03","Brighton","3","West Ham","1"
"Premier League","ENG","2018","2018-02-03","Leicester City","1","Swansea City","1"
"Premier League","ENG","2018","2018-02-03","Arsenal","5","Everton","1"
"Premier League","ENG","2018","2018-02-04","Crystal Palace","1","Newcastle Utd","1"
"Premier League","ENG","2018","2018-02-04","Liverpool","2","Tottenham","2"
"Premier League","ENG","2018","2018-02-05","Watford","4","Chelsea","1"
"Premier League","ENG","2018","2018-02-10","Tottenham","1","Arsenal","0"
"Premier League","ENG","2018","2018-02-10","Everton","3","Crystal Palace","1"
"Premier League","ENG","2018","2018-02-10","Swansea City","1","Burnley","0"
"Premier League","ENG","2018","2018-02-10","Stoke City","1","Brighton","1"
"Premier League","ENG","2018","2018-02-10","West Ham","2","Watford","0"
"Premier League","ENG","2018","2018-02-10","Manchester City","5","Leicester City","1"
"Premier League","ENG","2018","2018-02-11","Huddersfield","4","Bournemouth","1"
"Premier League","ENG","2018","2018-02-11","Newcastle Utd","1","Manchester Utd","0"
"Premier League","ENG","2018","2018-02-11","Southampton","0","Liverpool","2"
"Premier League","ENG","2018","2018-02-12","Chelsea","3","West Brom","0"
"Premier League","ENG","2018","2018-02-24","Leicester City","1","Stoke City","1"
"Premier League","ENG","2018","2018-02-24","West Brom","1","Huddersfield","2"
"Premier League","ENG","2018","2018-02-24","Bournemouth","2","Newcastle Utd","2"
"Premier League","ENG","2018","2018-02-24","Liverpool","4","West Ham","1"
"Premier League","ENG","2018","2018-02-24","Burnley","1","Southampton","1"
"Premier League","ENG","2018","2018-02-24","Brighton","4","Swansea City","1"
"Premier League","ENG","2018","2018-02-24","Watford","1","Everton","0"
"Premier League","ENG","2018","2018-02-25","Crystal Palace","0","Tottenham","1"
"Premier League","ENG","2018","2018-02-25","Manchester Utd","2","Chelsea","1"
"Premier League","ENG","2018","2018-03-01","Arsenal","0","Manchester City","3"
"Premier League","ENG","2018","2018-03-03","Burnley","2","Everton","1"
"Premier League","ENG","2018","2018-03-03","Watford","1","West Brom","0"
"Premier League","ENG","2018","2018-03-03","Swansea City","4","West Ham","1"
"Premier League","ENG","2018","2018-03-03","Leicester City","1","Bournemouth","1"
"Premier League","ENG","2018","2018-03-03","Southampton","0","Stoke City","0"
"Premier League","ENG","2018","2018-03-03","Tottenham","2","Huddersfield","0"
"Premier League","ENG","2018","2018-03-03","Liverpool","2","Newcastle Utd","0"
"Premier League","ENG","2018","2018-03-04","Brighton","2","Arsenal","1"
"Premier League","ENG","2018","2018-03-04","Manchester City","1","Chelsea","0"
"Premier League","ENG","2018","2018-03-05","Crystal Palace","2","Manchester Utd","3"
"Premier League","ENG","2018","2017-08-26","Bournemouth","1","Manchester City","2"
"Premier League","ENG","2018","2017-08-26","Huddersfield","0","Southampton","0"
"Premier League","ENG","2018","2017-08-26","Watford","0","Brighton","0"
"Premier League","ENG","2018","2017-08-26","Crystal Palace","0","Swansea City","2"
"Premier League","ENG","2018","2017-08-26","Newcastle Utd","3","West Ham","0"
"Premier League","ENG","2018","2017-08-26","Manchester Utd","2","Leicester City","0"
"Premier League","ENG","2018","2017-08-27","Chelsea","2","Everton","0"
"Premier League","ENG","2018","2017-08-27","West Brom","1","Stoke City","1"
"Premier League","ENG","2018","2017-08-27","Tottenham","1","Burnley","1"
"Premier League","ENG","2018","2017-08-27","Liverpool","4","Arsenal","0"
"Premier League","ENG","2018","2018-03-10","Manchester Utd","2","Liverpool","1"
"Premier League","ENG","2018","2018-03-10","West Ham","0","Burnley","3"
"Premier League","ENG","2018","2018-03-10","Newcastle Utd","3","Southampton","0"
"Premier League","ENG","2018","2018-03-10","West Brom","1","Leicester City","4"
"Premier League","ENG","2018","2018-03-10","Everton","2","Brighton","0"
"Premier League","ENG","2018","2018-03-10","Huddersfield","0","Swansea City","0"
"Premier League","ENG","2018","2018-03-10","Chelsea","2","Crystal Palace","1"
"Premier League","ENG","2018","2018-03-11","Arsenal","3","Watford","0"
"Premier League","ENG","2018","2018-03-11","Bournemouth","1","Tottenham","4"
"Premier League","ENG","2018","2018-03-12","Stoke City","0","Manchester City","2"
"Premier League","ENG","2018","2018-03-17","Stoke City","1","Everton","2"
"Premier League","ENG","2018","2018-03-17","Bournemouth","2","West Brom","1"
"Premier League","ENG","2018","2018-03-17","Huddersfield","0","Crystal Palace","2"
"Premier League","ENG","2018","2018-03-17","Liverpool","5","Watford","0"
"Premier League","ENG","2018","2018-04-19","Burnley","1","Chelsea","2"
"Premier League","ENG","2018","2018-05-08","Swansea City","0","Southampton","1"
"Premier League","ENG","2018","2018-05-09","Leicester City","3","Arsenal","1"
"Premier League","ENG","2018","2018-05-09","Tottenham","1","Newcastle Utd","0"
"Premier League","ENG","2018","2018-05-09","Manchester City","3","Brighton","1"
"Premier League","ENG","2018","2018-05-10","West Ham","0","Manchester Utd","0"
"Premier League","ENG","2018","2018-03-31","Crystal Palace","1","Liverpool","2"
"Premier League","ENG","2018","2018-03-31","Manchester Utd","2","Swansea City","0"
"Premier League","ENG","2018","2018-03-31","Brighton","0","Leicester City","2"
"Premier League","ENG","2018","2018-03-31","West Brom","1","Burnley","2"
"Premier League","ENG","2018","2018-03-31","West Ham","3","Southampton","0"
"Premier League","ENG","2018","2018-03-31","Newcastle Utd","1","Huddersfield","0"
"Premier League","ENG","2018","2018-03-31","Watford","2","Bournemouth","2"
"Premier League","ENG","2018","2018-03-31","Everton","1","Manchester City","3"
"Premier League","ENG","2018","2018-04-01","Arsenal","3","Stoke City","0"
"Premier League","ENG","2018","2018-04-01","Chelsea","1","Tottenham","3"
"Premier League","ENG","2018","2018-04-07","Everton","0","Liverpool","0"
"Premier League","ENG","2018","2018-04-07","Stoke City","1","Tottenham","2"
"Premier League","ENG","2018","2018-04-07","Leicester City","1","Newcastle Utd","2"
"Premier League","ENG","2018","2018-04-07","Watford","1","Burnley","2"
"Premier League","ENG","2018","2018-04-07","Brighton","1","Huddersfield","1"
"Premier League","ENG","2018","2018-04-07","Bournemouth","2","Crystal Palace","2"
"Premier League","ENG","2018","2018-04-07","West Brom","1","Swansea City","1"
"Premier League","ENG","2018","2018-04-07","Manchester City","2","Manchester Utd","3"
"Premier League","ENG","2018","2018-04-08","Arsenal","3","Southampton","2"
"Premier League","ENG","2018","2018-04-08","Chelsea","1","West Ham","1"
"Premier League","ENG","2018","2018-04-14","Southampton","2","Chelsea","3"
"Premier League","ENG","2018","2018-04-14","Crystal Palace","3","Brighton","2"
"Premier League","ENG","2018","2018-04-14","Huddersfield","1","Watford","0"
"Premier League","ENG","2018","2018-04-14","Burnley","2","Leicester City","1"
"Premier League","ENG","2018","2018-04-14","Swansea City","1","Everton","1"
"Premier League","ENG","2018","2018-04-14","Liverpool","3","Bournemouth","0"
"Premier League","ENG","2018","2018-04-14","Tottenham","1","Manchester City","3"
"Premier League","ENG","2018","2018-04-15","Newcastle Utd","2","Arsenal","1"
"Premier League","ENG","2018","2018-04-15","Manchester Utd","0","West Brom","1"
"Premier League","ENG","2018","2018-04-16","West Ham","1","Stoke City","1"
"Premier League","ENG","2018","2018-04-17","Brighton","1","Tottenham","1"
"Premier League","ENG","2018","2018-04-18","Bournemouth","0","Manchester Utd","2"
"Premier League","ENG","2018","2018-04-19","Leicester City","0","Southampton","0"
"Premier League","ENG","2018","2018-04-21","West Brom","2","Liverpool","2"
"Premier League","ENG","2018","2018-04-21","Watford","0","Crystal Palace","0"
"Premier League","ENG","2018","2018-04-22","Arsenal","4","West Ham","1"
"Premier League","ENG","2018","2018-04-22","Stoke City","1","Burnley","1"
"Premier League","ENG","2018","2018-04-22","Manchester City","5","Swansea City","0"
"Premier League","ENG","2018","2018-04-23","Everton","1","Newcastle Utd","0"
"Premier League","ENG","2018","2018-05-09","Chelsea","1","Huddersfield","1"
"Premier League","ENG","2018","2018-04-28","Liverpool","0","Stoke City","0"
"Premier League","ENG","2018","2018-04-28","Newcastle Utd","0","West Brom","1"
"Premier League","ENG","2018","2018-04-28","Southampton","2","Bournemouth","1"
"Premier League","ENG","2018","2018-04-28","Huddersfield","0","Everton","2"
"Premier League","ENG","2018","2018-04-28","Crystal Palace","5","Leicester City","0"
"Premier League","ENG","2018","2018-04-28","Burnley","0","Brighton","0"
"Premier League","ENG","2018","2018-04-28","Swansea City","0","Chelsea","1"
"Premier League","ENG","2018","2018-04-29","West Ham","1","Manchester City","4"
"Premier League","ENG","2018","2018-04-29","Manchester Utd","2","Arsenal","1"
"Premier League","ENG","2018","2018-04-30","Tottenham","2","Watford","0"
"Premier League","ENG","2018","2018-05-04","Brighton","1","Manchester Utd","0"
"Premier League","ENG","2018","2018-05-05","Stoke City","1","Crystal Palace","2"
"Premier League","ENG","2018","2018-05-05","Leicester City","0","West Ham","2"
"Premier League","ENG","2018","2018-05-05","West Brom","1","Tottenham","0"
"Premier League","ENG","2018","2018-05-05","Bournemouth","1","Swansea City","0"
"Premier League","ENG","2018","2018-05-05","Watford","2","Newcastle Utd","1"
"Premier League","ENG","2018","2018-05-05","Everton","1","Southampton","1"
"Premier League","ENG","2018","2018-05-06","Manchester City","0","Huddersfield","0"
"Premier League","ENG","2018","2018-05-06","Chelsea","1","Liverpool","0"
"Premier League","ENG","2018","2018-05-06","Arsenal","5","Burnley","0"
"Premier League","ENG","2018","2018-05-13","Swansea City","1","Stoke City","2"
"Premier League","ENG","2018","2018-05-13","Liverpool","4","Brighton","0"
"Premier League","ENG","2018","2018-05-13","Burnley","1","Bournemouth","2"
"Premier League","ENG","2018","2018-05-13","Crystal Palace","2","West Brom","0"
"Premier League","ENG","2018","2018-05-13","West Ham","3","Everton","1"
"Premier League","ENG","2018","2018-05-13","Huddersfield","0","Arsenal","1"
"Premier League","ENG","2018","2018-05-13","Newcastle Utd","3","Chelsea","0"
"Premier League","ENG","2018","2018-05-13","Manchester Utd","1","Watford","0"
"Premier League","ENG","2018","2018-05-13","Southampton","0","Manchester City","1"
"Premier League","ENG","2018","2018-05-13","Tottenham","5","Leicester City","4"
"Premier League","ENG","2018","2017-09-09","Manchester City","5","Liverpool","0"
"Premier League","ENG","2018","2017-09-09","Everton","0","Tottenham","3"
"Premier League","ENG","2018","2017-09-09","Arsenal","3","Bournemouth","0"
"Premier League","ENG","2018","2017-09-09","Leicester City","1","Chelsea","2"
"Premier League","ENG","2018","2017-09-09","Brighton","3","West Brom","1"
"Premier League","ENG","2018","2017-09-09","Southampton","0","Watford","2"
"Premier League","ENG","2018","2017-09-09","Stoke City","2","Manchester Utd","2"
"Premier League","ENG","2018","2017-09-10","Burnley","1","Crystal Palace","0"
"Premier League","ENG","2018","2017-09-10","Swansea City","0","Newcastle Utd","1"
"Premier League","ENG","2018","2017-09-11","West Ham","2","Huddersfield","0"
"Premier League","ENG","2018","2017-09-15","Bournemouth","2","Brighton","1"
"Premier League","ENG","2018","2017-09-16","Crystal Palace","0","Southampton","1"
"Premier League","ENG","2018","2017-09-16","Newcastle Utd","2","Stoke City","1"
"Premier League","ENG","2018","2017-09-16","Huddersfield","1","Leicester City","1"
"Premier League","ENG","2018","2017-09-16","Liverpool","1","Burnley","1"
"Premier League","ENG","2018","2017-09-16","West Brom","0","West Ham","0"
"Premier League","ENG","2018","2017-09-16","Watford","0","Manchester City","6"
"Premier League","ENG","2018","2017-09-16","Tottenham","0","Swansea City","0"
"Premier League","ENG","2018","2017-09-17","Chelsea","0","Arsenal","0"
"Premier League","ENG","2018","2017-09-17","Manchester Utd","4","Everton","0"
"Premier League","ENG","2018","2017-09-23","West Ham","2","Tottenham","3"
"Premier League","ENG","2018","2017-09-23","Southampton","0","Manchester Utd","1"
"Premier League","ENG","2018","2017-09-23","Stoke City","0","Chelsea","4"
"Premier League","ENG","2018","2017-09-23","Manchester City","5","Crystal Palace","0"
"Premier League","ENG","2018","2017-09-23","Burnley","0","Huddersfield","0"
"Premier League","ENG","2018","2017-09-23","Swansea City","1","Watford","2"
"Premier League","ENG","2018","2017-09-23","Everton","2","Bournemouth","1"
"Premier League","ENG","2018","2017-09-23","Leicester City","2","Liverpool","3"
"Premier League","ENG","2018","2017-09-24","Brighton","1","Newcastle Utd","0"
"Premier League","ENG","2018","2017-09-25","Arsenal","2","West Brom","0"
"Premier League","ENG","2018","2017-09-30","Huddersfield","0","Tottenham","4"
"Premier League","ENG","2018","2017-09-30","Stoke City","2","Southampton","1"
"Premier League","ENG","2018","2017-09-30","West Ham","1","Swansea City","0"
"Premier League","ENG","2018","2017-09-30","Manchester Utd","4","Crystal Palace","0"
"Premier League","ENG","2018","2017-09-30","Bournemouth","0","Leicester City","0"
"Premier League","ENG","2018","2017-09-30","West Brom","2","Watford","2"
"Premier League","ENG","2018","2017-09-30","Chelsea","0","Manchester City","1"
"Premier League","ENG","2018","2017-10-01","Arsenal","2","Brighton","0"
"Premier League","ENG","2018","2017-10-01","Everton","0","Burnley","1"
"Premier League","ENG","2018","2017-10-01","Newcastle Utd","1","Liverpool","1"
"Premier League","ENG","2018","2017-10-14","Liverpool","0","Manchester Utd","0"
"Premier League","ENG","2018","2017-10-14","Tottenham","1","Bournemouth","0"
"Premier League","ENG","2018","2017-10-14","Burnley","1","West Ham","1"
"Premier League","ENG","2018","2017-10-14","Crystal Palace","2","Chelsea","1"
"Premier League","ENG","2018","2017-10-14","Swansea City","2","Huddersfield","0"
"Premier League","ENG","2018","2017-10-14","Manchester City","7","Stoke City","2"
"Premier League","ENG","2018","2017-10-14","Watford","2","Arsenal","1"
"Premier League","ENG","2018","2017-10-15","Brighton","1","Everton","1"
"Premier League","ENG","2018","2017-10-15","Southampton","2","Newcastle Utd","2"
"Premier League","ENG","2018","2017-10-16","Leicester City","1","West Brom","1"
"Premier League","ENG","2018","2017-10-20","West Ham","0","Brighton","3"
"Premier League","ENG","2018","2017-10-21","Chelsea","4","Watford","2"
"Premier League","ENG","2018","2017-10-21","Manchester City","3","Burnley","0"
"Premier League","ENG","2018","2017-10-21","Huddersfield","2","Manchester Utd","1"
"Premier League","ENG","2018","2017-10-21","Swansea City","1","Leicester City","2"
"Premier League","ENG","2018","2017-10-21","Stoke City","1","Bournemouth","2"
"Premier League","ENG","2018","2017-10-21","Newcastle Utd","1","Crystal Palace","0"
