Team,League,Country,HeadCoach,Appointed,EndDate,Tenure,Matches,Wins,Draws,Losses,AppointmentNumber
Frosinone,Serie A,Italy,Pasquale Marino,2016-07-01,2017-05-29,332,46,22,12,12,1
Empoli,Serie A,Italy,Pasquale Marino,2020-01-26,2020-08-11,198,18,9,4,5,2
Toulouse,Ligue 1,France,Patrice Garande,2020-06-22,2021-06-02,345,46,26,10,10,1
Nice,Ligue 1,France,Patrick Vieira,2018-07-01,2020-12-04,887,89,35,21,33,1
Crystal Palace,Premier League,England,Patrick Vieira,2021-07-04,2023-03-17,621,74,22,24,28,2
Aston Villa,Premier League,England,Paul Lambert,2012-06-02,2015-02-11,984,115,34,26,55,1
Roma,Serie A,Italy,Paulo Fonseca,2019-07-01,2021-06-30,730,102,53,21,28,1
Fiorentina,Serie A,Italy,Paulo Sousa,2015-06-21,2017-06-30,740,95,43,25,27,1
Granada,LaLiga,Spain,Pedro Morilla,2018-03-19,2018-04-30,42,6,1,3,2,1
Stuttgart,Bundesliga,Germany,Pellegrino Matarazzo,2019-12-30,2022-10-10,1015,100,31,29,40,1
Bayern Munich,Bundesliga,Germany,Pep Guardiola,2013-07-01,2016-06-30,1095,161,124,16,21,1
Getafe,LaLiga,Spain,Pepe Bordalás,2016-09-27,2021-06-30,1737,212,83,60,69,1
Valencia,LaLiga,Spain,Pepe Bordalás,2021-07-01,2022-06-03,337,46,17,16,13,2
Betis,LaLiga,Spain,Pepe Mel,2014-12-23,2016-01-11,384,46,21,12,13,1
Las Palmas,LaLiga,Spain,Pepe Mel,2019-03-05,2022-01-23,1055,128,44,41,43,2
Dortmund,Bundesliga,Germany,Peter Bosz,2017-07-01,2017-12-09,161,24,8,6,10,1
Leverkusen,Bundesliga,Germany,Peter Bosz,2018-12-23,2021-03-23,821,108,59,16,33,2
Lyon,Ligue 1,France,Peter Bosz,2021-05-29,2022-10-09,498,58,27,16,15,3
Köln,Bundesliga,Germany,Peter Stöger,2013-07-01,2017-12-03,1616,168,61,53,54,1
Dortmund,Bundesliga,Germany,Peter Stöger,2017-12-10,2018-06-30,202,24,10,8,6,2
Bastia,Ligue 1,France,Philippe Montanier,2013-07-01,2016-01-20,933,115,43,34,38,1
Las Palmas,LaLiga,Spain,Quique Setién,2015-10-19,2017-06-30,620,78,26,18,34,1
Betis,LaLiga,Spain,Quique Setién,2017-07-01,2019-06-30,729,94,39,22,33,2
Barcelona,LaLiga,Spain,Quique Setién,2020-01-13,2020-08-17,217,25,16,4,5,3
Getafe,LaLiga,Spain,Quique Sánchez Flores,2015-01-05,2015-02-26,52,11,4,1,6,1
Getafe,LaLiga,Spain,Quique Sánchez Flores,2021-10-06,2023-04-27,568,66,18,24,24,2
Napoli,Serie A,Italy,Rafael Benítez,2013-07-01,2015-06-30,729,112,61,26,25,1
Real Madrid,LaLiga,Spain,Rafael Benítez,2015-07-01,2016-01-04,187,25,17,5,3,2
Newcastle Utd,Premier League,England,Rafael Benítez,2016-03-11,2019-06-30,1206,146,62,30,54,3
Everton,Premier League,England,Rafael Benítez,2021-07-01,2022-01-16,199,22,7,4,11,4
Nantes,Ligue 1,France,Raymond Domenech,2020-12-26,2021-02-10,46,8,0,4,4,1
Nantes,Ligue 1,France,René Girard,2016-07-01,2016-12-02,154,16,4,4,8,1
Monaco,Ligue 1,France,Robert Moreno,2019-12-28,2020-07-18,203,13,5,3,5,1
Granada,LaLiga,Spain,Robert Moreno,2021-07-01,2022-03-06,248,29,6,10,13,2
Sassuolo,Serie A,Italy,Roberto De Zerbi,2018-07-01,2021-05-24,1058,120,43,36,41,1
Aston Villa,Premier League,England,Roberto Di Matteo,2016-06-03,2016-10-03,122,12,1,7,4,1
Bologna,Serie A,Italy,Roberto Donadoni,2015-10-28,2018-06-30,976,108,33,23,52,1
Milan,Serie A,Italy,Roberto Mancini,2014-11-14,2016-08-08,633,77,36,18,23,1
Everton,Premier League,England,Roberto Martínez,2013-06-05,2016-05-12,1072,143,62,37,44,1
Empoli,Serie A,Italy,Roberto Muzzi,2019-11-14,2020-01-26,73,10,1,4,5,1
Frosinone,Serie A,Italy,Roberto Stellone,2012-06-14,2016-06-30,1477,159,64,41,54,1
Werder Bremen,Bundesliga,Germany,Robin Dutt,2013-07-01,2014-10-25,481,45,11,13,21,1
Leverkusen,Bundesliga,Germany,Roger Schmidt,2014-07-01,2017-03-05,978,125,62,27,36,1
Chievo,Serie A,Italy,Rolando Maran,2014-10-19,2018-04-29,1288,148,44,40,64,1
Genoa,Serie A,Italy,Rolando Maran,2020-08-26,2020-12-21,117,15,3,4,8,2
Montpellier,Ligue 1,France,Rolland Courbis,2013-12-09,2015-12-22,743,84,30,20,34,1
Montpellier,Ligue 1,France,Romain Pitau,2022-10-17,2023-02-07,113,12,2,2,8,1
Everton,Premier League,England,Ronald Koeman,2016-07-01,2017-10-23,479,58,24,14,20,1
Barcelona,LaLiga,Spain,Ronald Koeman,2020-08-19,2021-10-28,435,67,40,11,16,2
Crystal Palace,Premier League,England,Roy Hodgson,2017-09-12,2021-06-30,1387,162,54,36,72,1
Betis,LaLiga,Spain,Rubi,2019-07-01,2020-06-21,356,33,10,10,13,1
Rayo Vallecano,LaLiga,Spain,Rubén Baraja,2016-11-07,2017-02-20,105,13,3,4,6,1
Roma,Serie A,Italy,Rudi Garcia,2013-07-01,2016-01-13,926,118,61,34,23,1
Marseille,Ligue 1,France,Rudi Garcia,2016-10-20,2019-06-30,983,142,69,31,42,2
Lyon,Ligue 1,France,Rudi Garcia,2019-10-14,2021-05-24,588,78,44,15,19,3
Aston Villa,Premier League,England,Rémi Garde,2015-11-03,2016-03-29,147,23,3,7,13,1
Bastia,Ligue 1,France,Sabri Lamouchi,2017-11-08,2018-12-03,390,50,20,12,18,1
Hellas Verona,Serie A,Italy,Salvatore Bocchetti,2022-10-13,2022-12-02,50,6,0,0,6,1
Crystal Palace,Premier League,England,Sam Allardyce,2016-12-23,2017-05-23,151,24,9,3,12,1
Everton,Premier League,England,Sam Allardyce,2017-11-30,2018-05-16,167,26,10,7,9,2
Mainz 05,Bundesliga,Germany,Sandro Schwarz,2017-07-01,2019-11-10,862,85,27,16,42,1
Real Madrid,LaLiga,Spain,Santiago Solari,2018-11-13,2019-03-11,118,28,18,2,8,1
Bournemouth,Premier League,England,Scott Parker,2021-07-01,2022-08-30,425,55,29,13,13,1
Hoffenheim,Bundesliga,Germany,Sebastian Hoeneß,2020-08-02,2022-06-30,697,81,32,19,30,1
Lazio,Serie A,Italy,Simone Inzaghi,2016-07-08,2021-06-02,1790,244,131,43,70,1
Milan,Serie A,Italy,Siniša Mihajlović,2015-06-16,2016-04-12,301,38,19,10,9,1
Torino,Serie A,Italy,Siniša Mihajlović,2016-05-25,2018-01-04,589,64,23,24,17,2
Bologna,Serie A,Italy,Siniša Mihajlović,2019-01-28,2022-09-06,1317,131,43,35,53,3
West Ham,Premier League,England,Slaven Bilic,2015-06-09,2017-11-06,881,109,42,30,37,1
Köln,Bundesliga,Germany,Stefan Ruthenbeck,2017-12-19,2018-06-30,193,18,4,4,10,1
Atalanta,Serie A,Italy,Stefano Colantuono,2010-06-14,2015-03-04,1724,193,73,48,72,1
Udinese,Serie A,Italy,Stefano Colantuono,2015-06-04,2016-03-14,284,32,10,6,16,2
Lazio,Serie A,Italy,Stefano Pioli,2014-07-01,2016-04-03,642,91,44,20,27,1
Milan,Serie A,Italy,Stefano Pioli,2016-11-08,2017-05-09,182,27,14,3,10,2
Fiorentina,Serie A,Italy,Stefano Pioli,2017-07-01,2019-04-09,647,74,27,25,22,3
Aston Villa,Premier League,England,Steve Bruce,2016-10-12,2018-10-03,721,102,46,25,31,1
Newcastle Utd,Premier League,England,Steve Bruce,2019-07-17,2021-10-20,826,97,29,25,43,2
Newcastle Utd,Premier League,England,Steve McClaren,2015-06-10,2016-03-11,275,31,7,6,18,1
Aston Villa,Premier League,England,Steven Gerrard,2021-11-11,2022-10-20,343,40,13,8,19,1
Lorient,Ligue 1,France,Sylvain Ripoll,2014-07-01,2016-10-23,845,97,32,20,45,1
Lyon,Ligue 1,France,Sylvinho,2019-07-01,2019-10-07,98,11,3,4,4,1
Nantes,Ligue 1,France,Sérgio Conceição,2016-12-08,2017-06-30,204,26,13,5,8,1
Stuttgart,Bundesliga,Germany,Tayfun Korkut,2018-01-30,2018-10-07,250,22,10,6,6,1
Genoa,Serie A,Italy,Thiago Motta,2019-10-22,2019-12-28,67,10,2,3,5,1
Monaco,Ligue 1,France,Thierry Henry,2018-10-13,2019-01-24,103,20,5,4,11,1
Eint Frankfurt,Bundesliga,Germany,Thomas Schaaf,2014-07-01,2015-05-26,329,36,12,10,14,1
Dortmund,Bundesliga,Germany,Thomas Tuchel,2015-07-01,2017-06-30,730,107,69,20,18,1
Paris S-G,Ligue 1,France,Thomas Tuchel,2018-07-01,2020-12-29,912,127,96,11,20,2
Chelsea,Premier League,England,Thomas Tuchel,2021-01-26,2022-09-07,589,100,63,19,18,3
Aston Villa,Premier League,England,Tim Sherwood,2015-02-16,2015-10-25,251,28,10,2,16,1
Stuttgart,Bundesliga,Germany,Tim Walter,2019-07-01,2019-12-23,175,20,11,4,5,1
Granada,LaLiga,Spain,Tony Adams,2017-04-10,2017-06-30,81,7,0,0,7,1
Crystal Palace,Premier League,England,Tony Pulis,2013-11-24,2014-08-14,263,28,12,5,11,1
Darmstadt 98,Bundesliga,Germany,Torsten Frings,2016-12-28,2017-12-09,346,36,9,8,19,1
Sevilla,LaLiga,Spain,Unai Emery,2013-01-14,2016-06-30,1263,205,107,43,55,1
Paris S-G,Ligue 1,France,Unai Emery,2016-07-01,2018-06-30,729,114,87,15,12,2
Arsenal,Premier League,England,Unai Emery,2018-07-01,2019-11-29,516,78,43,15,20,3
Villarreal,LaLiga,Spain,Unai Emery,2020-07-23,2022-10-25,824,129,66,32,31,4
Nantes,Ligue 1,France,Vahid Halilhodzic,2018-10-02,2019-08-02,304,37,17,6,14,1
Wolfsburg,Bundesliga,Germany,Valérien Ismaël,2016-11-06,2017-02-26,112,13,4,1,8,1
Werder Bremen,Bundesliga,Germany,Viktor Skrypnyk,2014-10-26,2016-09-18,693,70,26,14,30,1
Fiorentina,Serie A,Italy,Vincenzo Montella,2012-06-11,2015-06-08,1092,153,81,32,40,1
Milan,Serie A,Italy,Vincenzo Montella,2016-06-29,2017-11-27,516,64,33,13,18,2
Sevilla,LaLiga,Spain,Vincenzo Montella,2017-12-30,2018-04-28,119,28,11,7,10,3
Fiorentina,Serie A,Italy,Vincenzo Montella,2019-04-10,2019-12-21,255,27,6,7,14,4
Empoli,Serie A,Italy,Vincenzo Vivarini,2017-07-01,2017-12-17,169,20,8,6,6,1
Valencia,LaLiga,Spain,Voro,2017-01-01,2017-06-30,180,25,10,4,11,1
Betis,LaLiga,Spain,Víctor Sánchez,2016-11-12,2017-05-09,178,27,8,5,14,1
Milan,Serie A,Italy,Walter Mazzarri,2013-05-24,2014-11-14,539,58,25,21,12,1
Torino,Serie A,Italy,Walter Mazzarri,2018-01-04,2020-02-04,761,90,38,24,28,2
Real Madrid,LaLiga,Spain,Zinédine Zidane,2016-01-04,2018-05-31,878,149,105,28,16,1
Real Madrid,LaLiga,Spain,Zinédine Zidane,2019-03-11,2021-06-30,842,114,69,25,20,2
Celta Vigo,LaLiga,Spain,Óscar García,2019-11-04,2020-11-09,371,38,8,17,13,1
Reims,Ligue 1,France,Óscar García,2021-06-23,2022-10-13,477,51,14,18,19,2
