Team,League,Country,HeadCoach,Appointed,EndDate,Tenure,Matches,Wins,Draws,Losses,AppointmentNumber
Roma,Serie A,Italy,Claudio Ranieri,2019-03-08,2019-06-30,114,12,6,4,2,2
Getafe,LaLiga,Spain,Cosmin Contra,2014-03-11,2015-01-05,300,29,10,7,12,1
Sassuolo,Serie A,Italy,Cristian Bucchi,2017-06-20,2017-11-27,160,15,4,2,9,1
Empoli,Serie A,Italy,Cristian Bucchi,2019-06-18,2019-11-12,147,14,6,5,3,2
Athletic Club,LaLiga,Spain,Cuco Ziganda,2017-07-01,2018-06-30,364,54,17,17,20,1
M'Gladbach,Bundesliga,Germany,Daniel Farke,2022-07-01,2023-06-02,336,36,12,10,14,1
Real Sociedad,LaLiga,Spain,David Moyes,2014-11-10,2015-11-09,364,42,12,15,15,1
West Ham,Premier League,England,David Moyes,2017-11-07,2018-05-16,190,31,9,10,12,2
Genoa,Serie A,Italy,Davide Ballardini,2017-11-06,2018-10-09,337,36,16,5,15,1
Genoa,Serie A,Italy,Davide Ballardini,2020-12-21,2021-11-06,320,39,11,14,14,2
Udinese,Serie A,Italy,Davide Nicola,2018-11-13,2019-03-20,127,15,4,4,7,1
Genoa,Serie A,Italy,Davide Nicola,2019-12-28,2020-08-26,242,22,8,4,10,2
Torino,Serie A,Italy,Davide Nicola,2021-01-19,2021-05-28,129,20,5,9,6,3
Aston Villa,Premier League,England,Dean Smith,2018-10-10,2021-11-07,1124,138,56,27,55,1
Bologna,Serie A,Italy,Delio Rossi,2015-05-04,2015-10-28,177,18,4,4,10,1
Bologna,Serie A,Italy,Diego López,2014-07-01,2015-05-04,307,40,16,15,9,1
Granada,LaLiga,Spain,Diego Martínez,2018-07-01,2021-06-30,1095,146,69,30,47,1
Wolfsburg,Bundesliga,Germany,Dieter Hecking,2013-01-01,2016-10-17,1385,165,83,39,43,1
M'Gladbach,Bundesliga,Germany,Dieter Hecking,2016-12-21,2019-06-30,921,98,43,22,33,2
Darmstadt 98,Bundesliga,Germany,Dimitrios Grammozis,2019-02-24,2020-06-30,492,47,20,15,12,1
Darmstadt 98,Bundesliga,Germany,Dirk Schuster,2012-12-28,2016-06-30,1280,138,60,41,37,1
Augsburg,Bundesliga,Germany,Dirk Schuster,2016-07-01,2016-12-14,166,16,4,5,7,2
Darmstadt 98,Bundesliga,Germany,Dirk Schuster,2017-12-11,2019-02-18,434,41,13,12,16,3
Chievo,Serie A,Italy,Domenico Di Carlo,2018-11-13,2019-05-31,199,27,2,11,14,1
Toulouse,Ligue 1,France,Dominique Arribagé,2015-03-20,2016-02-28,345,43,12,11,20,1
Bournemouth,Premier League,England,Eddie Howe,2012-10-14,2020-08-01,2848,355,144,75,136,1
Dortmund,Bundesliga,Germany,Edin Terzic,2020-12-29,2021-06-30,183,29,18,4,7,1
Atalanta,Serie A,Italy,Edoardo Reja,2015-03-04,2016-06-14,468,53,14,20,19,1
Celta Vigo,LaLiga,Spain,Eduardo Berizzo,2014-07-01,2017-06-30,1095,148,61,36,51,1
Sevilla,LaLiga,Spain,Eduardo Berizzo,2017-07-01,2017-12-22,174,27,14,6,7,2
Athletic Club,LaLiga,Spain,Eduardo Berizzo,2018-07-01,2018-12-04,156,15,2,8,5,3
Celta Vigo,LaLiga,Spain,Eduardo Coudet,2020-11-12,2022-11-02,720,84,31,19,34,1
Athletic Club,LaLiga,Spain,Ernesto Valverde,2013-07-01,2017-06-30,1460,213,101,46,66,1
Barcelona,LaLiga,Spain,Ernesto Valverde,2017-07-01,2020-01-13,926,145,97,32,16,2
Chievo,Serie A,Italy,Eugenio Corini,2013-11-12,2014-10-19,341,36,11,4,21,1
Real Sociedad,LaLiga,Spain,Eusebio,2015-11-09,2018-03-18,860,112,46,23,43,1
Sassuolo,Serie A,Italy,Eusebio Di Francesco,2014-03-03,2017-06-12,1197,142,52,39,51,1
Roma,Serie A,Italy,Eusebio Di Francesco,2017-06-13,2019-03-07,632,87,46,18,23,2
Hellas Verona,Serie A,Italy,Fabio Grosso,2018-06-21,2019-05-01,314,36,13,13,10,1
Hellas Verona,Serie A,Italy,Fabio Pecchia,2016-07-01,2018-06-30,729,86,31,18,37,1
Milan,Serie A,Italy,Filippo Inzaghi,2014-06-09,2015-06-16,372,40,14,13,13,1
Bologna,Serie A,Italy,Filippo Inzaghi,2018-07-01,2019-01-28,211,24,4,8,12,2
Werder Bremen,Bundesliga,Germany,Florian Kohfeldt,2017-11-10,2021-05-16,1283,142,51,37,54,1
