date,league,team,result,days_in_post
2018-11-11,LaLiga,Sevilla,win,133
2018-11-11,LaLiga,Rayo Vallecano,draw,628
2018-11-11,LaLiga,Celta Vigo,loss,133
2018-11-24,LaLiga,Valencia,win,511
2018-11-25,LaLiga,Athletic Club,draw,147
2018-11-25,LaLiga,Sevilla,win,147
2018-11-25,LaLiga,Villarreal,win,426
2018-11-26,LaLiga,Real Sociedad,win,148
2018-11-30,LaLiga,Rayo Vallecano,win,647
2018-12-01,LaLiga,Celta Vigo,win,19
2018-12-01,LaLiga,Getafe,win,795
2018-12-01,LaLiga,Real Madrid,win,18
2018-12-02,LaLiga,Betis,win,519
2018-12-02,LaLiga,Girona,draw,154
2018-12-02,LaLiga,Barcelona,win,519
2018-12-02,LaLiga,Alavés,draw,366
2018-12-08,LaLiga,Valencia,draw,525
2018-12-08,LaLiga,Villarreal,loss,439
2018-12-09,LaLiga,Real Sociedad,loss,161
2018-12-09,LaLiga,Betis,win,526
2018-12-10,LaLiga,Athletic Club,win,5
2018-12-14,LaLiga,Celta Vigo,draw,32
2018-12-15,LaLiga,Getafe,win,809
2018-12-15,LaLiga,Real Madrid,win,32
2018-12-16,LaLiga,Sevilla,win,168
2018-12-17,LaLiga,Alavés,draw,381
2018-12-21,LaLiga,Girona,draw,173
2018-12-21,LaLiga,Real Sociedad,loss,173
2018-12-22,LaLiga,Betis,draw,539
2018-12-22,LaLiga,Barcelona,win,539
2018-12-22,LaLiga,Athletic Club,draw,17
2018-12-23,LaLiga,Valencia,win,540
2018-12-23,LaLiga,Rayo Vallecano,win,670
2019-01-03,LaLiga,Villarreal,draw,24
2019-01-05,LaLiga,Alavés,win,400
2019-01-06,LaLiga,Sevilla,draw,189
2019-01-06,LaLiga,Real Madrid,loss,54
2019-01-06,LaLiga,Getafe,loss,831
2019-01-07,LaLiga,Celta Vigo,loss,56
2019-01-11,LaLiga,Rayo Vallecano,win,689
2019-01-12,LaLiga,Valencia,draw,560
2019-01-12,LaLiga,Girona,draw,195
2019-01-12,LaLiga,Villarreal,loss,33
2019-01-13,LaLiga,Athletic Club,win,39
2019-01-13,LaLiga,Barcelona,win,561
2019-01-13,LaLiga,Betis,loss,561
2019-01-14,LaLiga,Real Sociedad,win,18
2018-08-24,LaLiga,Getafe,win,696
2018-08-25,LaLiga,Alavés,draw,267
2018-08-26,LaLiga,Girona,loss,56
2018-08-26,LaLiga,Sevilla,draw,56
2018-08-27,LaLiga,Athletic Club,draw,57
2019-01-18,LaLiga,Getafe,win,843
2019-01-19,LaLiga,Real Madrid,win,67
2019-01-19,LaLiga,Celta Vigo,loss,68
2019-01-20,LaLiga,Betis,win,568
2019-01-20,LaLiga,Villarreal,draw,41
2019-01-20,LaLiga,Rayo Vallecano,draw,698
2019-01-20,LaLiga,Barcelona,win,568
2019-01-26,LaLiga,Sevilla,win,209
2019-01-26,LaLiga,Valencia,win,574
2019-01-27,LaLiga,Girona,loss,210
2019-01-27,LaLiga,Real Sociedad,draw,31
2019-01-27,LaLiga,Athletic Club,win,53
2019-01-28,LaLiga,Alavés,loss,423
2019-02-02,LaLiga,Real Sociedad,win,37
2019-02-02,LaLiga,Barcelona,draw,581
2019-02-02,LaLiga,Celta Vigo,win,82
2019-02-03,LaLiga,Villarreal,draw,5
2019-02-03,LaLiga,Betis,win,582
2019-02-03,LaLiga,Real Madrid,win,82
2019-02-04,LaLiga,Rayo Vallecano,loss,713
2019-02-09,LaLiga,Getafe,win,865
2019-02-09,LaLiga,Girona,loss,223
2019-02-10,LaLiga,Valencia,draw,589
2019-02-10,LaLiga,Sevilla,draw,224
2019-02-10,LaLiga,Athletic Club,draw,67
2019-02-11,LaLiga,Alavés,win,437
2019-02-16,LaLiga,Celta Vigo,loss,96
2019-02-16,LaLiga,Rayo Vallecano,loss,725
2019-02-16,LaLiga,Real Sociedad,win,51
2019-02-16,LaLiga,Barcelona,win,595
2019-02-17,LaLiga,Real Madrid,loss,96
2019-02-17,LaLiga,Valencia,draw,596
2019-02-17,LaLiga,Villarreal,win,19
2019-02-17,LaLiga,Betis,draw,596
2019-02-23,LaLiga,Getafe,win,879
2019-02-23,LaLiga,Sevilla,loss,237
2019-02-23,LaLiga,Alavés,draw,449
2019-02-23,LaLiga,Athletic Club,win,80
2019-02-25,LaLiga,Girona,draw,239
2019-03-01,LaLiga,Rayo Vallecano,loss,738
2019-03-02,LaLiga,Villarreal,loss,32
2019-03-02,LaLiga,Real Madrid,loss,109
2019-03-03,LaLiga,Betis,loss,610
2019-03-03,LaLiga,Real Sociedad,loss,66
2019-03-03,LaLiga,Valencia,win,610
2019-03-08,LaLiga,Athletic Club,draw,93
2019-03-09,LaLiga,Alavés,draw,463
2019-03-09,LaLiga,Barcelona,win,616
2019-03-09,LaLiga,Getafe,win,893
2019-03-10,LaLiga,Celta Vigo,loss,7
2019-03-10,LaLiga,Girona,loss,252
2019-03-10,LaLiga,Sevilla,win,252
2019-03-15,LaLiga,Real Sociedad,draw,78
2019-03-16,LaLiga,Real Madrid,win,5
2019-03-16,LaLiga,Athletic Club,win,101
2019-03-17,LaLiga,Villarreal,win,47
2019-03-17,LaLiga,Valencia,draw,624
2019-03-17,LaLiga,Betis,loss,624
2019-03-29,LaLiga,Girona,loss,271
2019-03-30,LaLiga,Getafe,loss,914
2019-03-30,LaLiga,Barcelona,win,637
2019-03-30,LaLiga,Celta Vigo,win,27
2019-03-30,LaLiga,Alavés,loss,484
2019-03-31,LaLiga,Rayo Vallecano,draw,12
2019-03-31,LaLiga,Sevilla,loss,16
2019-03-31,LaLiga,Real Madrid,win,20
2018-08-31,LaLiga,Getafe,draw,703
2018-08-31,LaLiga,Villarreal,loss,340
2018-09-01,LaLiga,Celta Vigo,win,62
2018-09-01,LaLiga,Real Madrid,win,62
2018-09-02,LaLiga,Alavés,win,275
2018-09-02,LaLiga,Barcelona,win,428
2018-09-02,LaLiga,Betis,win,428
2018-10-24,LaLiga,Rayo Vallecano,draw,610
2019-04-02,LaLiga,Villarreal,draw,63
2019-04-03,LaLiga,Athletic Club,win,119
2019-04-03,LaLiga,Valencia,win,641
2019-04-04,LaLiga,Sevilla,win,20
2019-04-04,LaLiga,Real Sociedad,win,98
2019-04-06,LaLiga,Girona,loss,279
2019-04-06,LaLiga,Real Madrid,win,26
2019-04-06,LaLiga,Rayo Vallecano,win,18
2019-04-06,LaLiga,Barcelona,win,644
2019-04-07,LaLiga,Alavés,draw,492
2019-04-07,LaLiga,Getafe,win,922
2019-04-07,LaLiga,Celta Vigo,win,35
2019-04-07,LaLiga,Betis,win,645
2019-04-13,LaLiga,Sevilla,win,29
2019-04-14,LaLiga,Athletic Club,win,130
2019-04-14,LaLiga,Real Sociedad,draw,108
2019-04-14,LaLiga,Girona,loss,287
2019-04-14,LaLiga,Valencia,win,652
2019-04-19,LaLiga,Alavés,draw,504
2019-04-20,LaLiga,Celta Vigo,win,48
2019-04-20,LaLiga,Rayo Vallecano,draw,32
2019-04-20,LaLiga,Barcelona,win,658
2019-04-21,LaLiga,Getafe,win,936
2019-04-21,LaLiga,Real Madrid,win,41
2019-04-21,LaLiga,Villarreal,win,82
2019-04-21,LaLiga,Betis,loss,659
2019-04-23,LaLiga,Alavés,loss,508
2019-04-25,LaLiga,Sevilla,win,41
2019-04-25,LaLiga,Real Sociedad,loss,119
2019-04-25,LaLiga,Getafe,draw,940
2019-04-27,LaLiga,Athletic Club,draw,143
2019-04-27,LaLiga,Barcelona,win,665
2019-04-28,LaLiga,Valencia,loss,666
2019-04-28,LaLiga,Girona,win,301
2019-04-28,LaLiga,Real Sociedad,win,122
2019-04-28,LaLiga,Villarreal,draw,89
2019-04-28,LaLiga,Rayo Vallecano,win,40
2019-04-29,LaLiga,Betis,draw,667
2019-05-03,LaLiga,Sevilla,loss,49
2019-05-04,LaLiga,Alavés,loss,519
2019-05-04,LaLiga,Celta Vigo,win,62
2019-05-05,LaLiga,Getafe,win,950
2019-05-05,LaLiga,Real Madrid,win,55
2019-05-12,LaLiga,Betis,win,680
2019-05-12,LaLiga,Barcelona,win,680
2019-05-12,LaLiga,Girona,loss,315
2019-05-12,LaLiga,Valencia,win,680
2019-05-12,LaLiga,Villarreal,win,103
2019-05-12,LaLiga,Athletic Club,win,158
2019-05-12,LaLiga,Rayo Vallecano,loss,54
2019-05-12,LaLiga,Real Sociedad,win,136
2019-05-18,LaLiga,Getafe,draw,963
2019-05-18,LaLiga,Sevilla,win,64
2019-05-18,LaLiga,Celta Vigo,draw,76
2019-05-18,LaLiga,Alavés,win,533
2019-05-19,LaLiga,Real Madrid,loss,69
2018-09-15,LaLiga,Real Sociedad,loss,76
2018-09-15,LaLiga,Valencia,draw,441
2018-09-15,LaLiga,Athletic Club,draw,76
2018-09-16,LaLiga,Sevilla,loss,77
2018-09-17,LaLiga,Girona,win,78
2018-09-22,LaLiga,Rayo Vallecano,loss,578
2018-09-22,LaLiga,Celta Vigo,draw,83
2018-09-22,LaLiga,Getafe,loss,725
2018-09-22,LaLiga,Real Madrid,win,83
2018-09-23,LaLiga,Villarreal,draw,363
2018-09-23,LaLiga,Betis,draw,449
2018-09-23,LaLiga,Barcelona,draw,449
2018-09-25,LaLiga,Real Sociedad,draw,86
2018-09-26,LaLiga,Athletic Club,loss,87
2018-09-26,LaLiga,Sevilla,win,87
2018-09-26,LaLiga,Valencia,draw,452
2018-09-27,LaLiga,Alavés,draw,300
2018-09-27,LaLiga,Girona,loss,88
2018-09-28,LaLiga,Rayo Vallecano,draw,584
2018-09-29,LaLiga,Real Sociedad,loss,90
2018-09-29,LaLiga,Barcelona,draw,455
2018-09-29,LaLiga,Real Madrid,draw,90
2018-09-30,LaLiga,Villarreal,loss,370
2018-09-30,LaLiga,Betis,win,456
2018-10-01,LaLiga,Celta Vigo,draw,92
2018-10-05,LaLiga,Athletic Club,loss,96
2018-10-06,LaLiga,Girona,loss,97
2018-10-06,LaLiga,Getafe,loss,739
2018-10-06,LaLiga,Alavés,win,309
2018-10-07,LaLiga,Sevilla,win,98
2018-10-07,LaLiga,Valencia,draw,463
2018-10-19,LaLiga,Celta Vigo,loss,110
2018-10-20,LaLiga,Real Madrid,loss,111
2018-10-20,LaLiga,Valencia,draw,476
2018-10-20,LaLiga,Villarreal,draw,390
2018-10-20,LaLiga,Barcelona,win,476
2018-10-21,LaLiga,Rayo Vallecano,loss,607
2018-10-21,LaLiga,Betis,loss,477
2018-10-22,LaLiga,Real Sociedad,draw,113
2019-08-16,LaLiga,Athletic Club,win,254
2019-08-17,LaLiga,Celta Vigo,loss,167
2019-08-17,LaLiga,Valencia,draw,777
2019-08-17,LaLiga,Villarreal,draw,200
2019-08-18,LaLiga,Alavés,win,48
2019-08-18,LaLiga,Betis,loss,48
2019-10-25,LaLiga,Villarreal,win,269
2019-10-27,LaLiga,Celta Vigo,loss,238
2019-10-27,LaLiga,Sevilla,win,118
2019-12-18,LaLiga,Barcelona,draw,900
2019-10-29,LaLiga,Alavés,draw,120
2019-10-29,LaLiga,Barcelona,win,850
2019-10-30,LaLiga,Valencia,draw,49
2019-10-30,LaLiga,Real Sociedad,loss,307
2019-10-30,LaLiga,Athletic Club,win,329
2019-10-30,LaLiga,Betis,win,121
2019-10-30,LaLiga,Real Madrid,win,233
2019-10-31,LaLiga,Getafe,win,1129
2019-11-02,LaLiga,Sevilla,draw,124
2019-11-02,LaLiga,Real Madrid,draw,236
2019-11-03,LaLiga,Villarreal,draw,278
2019-11-08,LaLiga,Real Sociedad,draw,316
2019-11-09,LaLiga,Alavés,win,131
2019-11-09,LaLiga,Valencia,win,59
2019-11-09,LaLiga,Barcelona,win,861
2019-11-10,LaLiga,Athletic Club,win,340
2019-11-10,LaLiga,Getafe,draw,1139
2019-11-10,LaLiga,Betis,loss,132
2019-11-23,LaLiga,Betis,win,145
2019-11-23,LaLiga,Real Madrid,win,257
2019-11-24,LaLiga,Villarreal,loss,299
2019-11-29,LaLiga,Celta Vigo,draw,25
2019-11-30,LaLiga,Alavés,loss,152
2019-11-30,LaLiga,Real Sociedad,win,338
2019-11-30,LaLiga,Valencia,win,80
2019-12-01,LaLiga,Sevilla,win,153
2019-12-01,LaLiga,Athletic Club,win,361
2019-12-01,LaLiga,Getafe,win,1160
2019-12-06,LaLiga,Villarreal,draw,311
2019-12-07,LaLiga,Real Madrid,win,271
2019-12-07,LaLiga,Barcelona,win,889
2019-12-08,LaLiga,Betis,win,160
2019-12-13,LaLiga,Alavés,draw,165
2019-12-14,LaLiga,Real Sociedad,draw,352
2019-12-14,LaLiga,Athletic Club,draw,374
2019-12-15,LaLiga,Getafe,win,1174
2019-12-15,LaLiga,Celta Vigo,draw,41
2019-12-15,LaLiga,Sevilla,loss,167
2019-12-15,LaLiga,Valencia,draw,95
2019-12-21,LaLiga,Barcelona,win,903
2019-12-21,LaLiga,Villarreal,win,326
2019-12-22,LaLiga,Betis,loss,174
2019-12-22,LaLiga,Real Madrid,draw,286
2020-01-03,LaLiga,Sevilla,draw,186
2020-01-04,LaLiga,Valencia,win,115
2020-01-04,LaLiga,Getafe,loss,1194
2020-01-05,LaLiga,Real Sociedad,loss,374
2020-01-05,LaLiga,Alavés,draw,188
2020-01-05,LaLiga,Celta Vigo,draw,62
2019-08-24,LaLiga,Real Madrid,draw,166
2019-08-24,LaLiga,Getafe,draw,1061
2019-08-24,LaLiga,Celta Vigo,win,174
2019-08-25,LaLiga,Alavés,draw,55
2019-08-25,LaLiga,Barcelona,win,785
2020-01-18,LaLiga,Real Madrid,win,313
2020-01-19,LaLiga,Betis,win,202
2020-01-19,LaLiga,Villarreal,loss,355
2020-01-19,LaLiga,Athletic Club,draw,410
2020-01-19,LaLiga,Barcelona,win,6
2020-01-25,LaLiga,Valencia,win,136
2020-01-25,LaLiga,Alavés,loss,208
2020-01-25,LaLiga,Sevilla,win,208
2020-01-26,LaLiga,Celta Vigo,draw,83
2020-01-26,LaLiga,Getafe,win,1216
2020-01-26,LaLiga,Real Sociedad,win,395
2020-02-01,LaLiga,Real Madrid,win,327
2020-02-01,LaLiga,Valencia,win,143
2020-02-02,LaLiga,Athletic Club,loss,424
2020-02-02,LaLiga,Villarreal,win,369
2020-02-02,LaLiga,Sevilla,draw,216
2020-02-02,LaLiga,Barcelona,win,20
2020-02-07,LaLiga,Alavés,win,221
2020-02-08,LaLiga,Getafe,win,1229
2020-02-09,LaLiga,Real Sociedad,win,409
2020-02-09,LaLiga,Celta Vigo,win,97
2020-02-09,LaLiga,Betis,loss,223
2020-02-14,LaLiga,Valencia,draw,156
2020-02-15,LaLiga,Barcelona,win,33
2020-02-15,LaLiga,Villarreal,win,382
2020-02-16,LaLiga,Sevilla,draw,230
2020-02-16,LaLiga,Athletic Club,loss,438
2020-02-16,LaLiga,Real Madrid,draw,342
2020-02-21,LaLiga,Betis,draw,235
2020-02-22,LaLiga,Celta Vigo,win,110
2020-02-22,LaLiga,Barcelona,win,40
2020-02-22,LaLiga,Real Sociedad,win,422
2020-02-23,LaLiga,Alavés,win,237
2020-02-23,LaLiga,Getafe,loss,1244
2020-02-28,LaLiga,Real Sociedad,win,428
2020-02-29,LaLiga,Valencia,win,171
2020-03-01,LaLiga,Sevilla,win,244
2020-03-01,LaLiga,Athletic Club,win,452
2020-03-01,LaLiga,Real Madrid,win,356
2020-03-06,LaLiga,Alavés,draw,249
2020-03-07,LaLiga,Barcelona,win,54
2020-03-07,LaLiga,Getafe,draw,1257
2020-03-08,LaLiga,Villarreal,loss,404
2020-03-08,LaLiga,Betis,win,251
2020-06-11,LaLiga,Sevilla,win,346
2020-06-12,LaLiga,Valencia,draw,275
2020-06-13,LaLiga,Celta Vigo,loss,222
2020-06-14,LaLiga,Athletic Club,draw,557
2020-06-14,LaLiga,Real Madrid,win,461
2020-06-14,LaLiga,Real Sociedad,draw,535
2020-06-15,LaLiga,Betis,draw,350
2020-06-16,LaLiga,Getafe,draw,1358
2020-06-16,LaLiga,Villarreal,win,504
2020-06-16,LaLiga,Barcelona,win,155
2020-06-18,LaLiga,Alavés,win,353
2020-06-18,LaLiga,Real Madrid,win,465
2019-08-30,LaLiga,Sevilla,draw,60
2019-08-30,LaLiga,Athletic Club,win,268
2019-08-31,LaLiga,Getafe,draw,1068
2019-08-31,LaLiga,Betis,win,61
2019-09-01,LaLiga,Valencia,win,792
2019-09-01,LaLiga,Villarreal,draw,215
2020-06-19,LaLiga,Sevilla,draw,354
2020-06-20,LaLiga,Athletic Club,win,563
2020-06-20,LaLiga,Getafe,draw,1362
2020-06-21,LaLiga,Celta Vigo,win,230
2020-06-21,LaLiga,Valencia,win,284
2020-06-21,LaLiga,Real Sociedad,loss,542
2020-06-22,LaLiga,Villarreal,draw,510
2020-06-23,LaLiga,Barcelona,win,162
2020-06-24,LaLiga,Alavés,loss,359
2020-06-24,LaLiga,Real Sociedad,loss,545
2020-06-24,LaLiga,Real Madrid,win,471
2020-06-26,LaLiga,Sevilla,draw,361
2020-06-27,LaLiga,Athletic Club,win,570
2020-06-27,LaLiga,Celta Vigo,draw,236
2020-06-28,LaLiga,Villarreal,win,516
2020-06-29,LaLiga,Getafe,win,1371
2020-06-30,LaLiga,Barcelona,draw,169
2020-07-01,LaLiga,Alavés,loss,366
2020-07-02,LaLiga,Real Sociedad,win,553
2020-07-02,LaLiga,Real Madrid,win,479
2020-07-04,LaLiga,Celta Vigo,draw,243
2020-07-05,LaLiga,Athletic Club,loss,578
2020-07-05,LaLiga,Villarreal,loss,523
2020-07-06,LaLiga,Sevilla,win,371
2020-07-07,LaLiga,Celta Vigo,draw,246
2020-07-08,LaLiga,Getafe,loss,1380
2020-07-08,LaLiga,Barcelona,win,177
2020-07-09,LaLiga,Athletic Club,loss,582
2020-07-10,LaLiga,Real Sociedad,loss,561
2020-07-10,LaLiga,Real Madrid,win,487
2020-07-12,LaLiga,Sevilla,win,377
2020-07-13,LaLiga,Alavés,draw,8
2020-07-13,LaLiga,Villarreal,loss,531
2020-07-16,LaLiga,Celta Vigo,loss,255
2020-07-16,LaLiga,Real Sociedad,draw,567
2020-07-16,LaLiga,Getafe,loss,1388
2020-07-16,LaLiga,Athletic Club,loss,589
2020-07-16,LaLiga,Barcelona,loss,185
2020-07-16,LaLiga,Real Madrid,win,493
2020-07-19,LaLiga,Alavés,loss,14
2020-07-19,LaLiga,Villarreal,win,537
2020-07-19,LaLiga,Sevilla,win,384
2019-09-14,LaLiga,Real Madrid,win,187
2019-09-14,LaLiga,Real Sociedad,win,261
2019-09-14,LaLiga,Barcelona,win,805
2019-09-15,LaLiga,Alavés,loss,76
2019-09-15,LaLiga,Celta Vigo,loss,196
2019-09-15,LaLiga,Betis,draw,76
2019-09-21,LaLiga,Villarreal,win,235
2019-09-22,LaLiga,Getafe,win,1090
2019-09-22,LaLiga,Valencia,draw,11
2019-09-22,LaLiga,Athletic Club,win,291
2019-09-22,LaLiga,Sevilla,loss,83
2019-09-24,LaLiga,Betis,win,85
2019-09-24,LaLiga,Barcelona,win,815
2019-09-25,LaLiga,Valencia,draw,14
2019-09-25,LaLiga,Real Madrid,win,198
2019-09-26,LaLiga,Celta Vigo,draw,207
2019-09-26,LaLiga,Real Sociedad,win,273
2019-09-27,LaLiga,Villarreal,win,241
2019-09-28,LaLiga,Athletic Club,loss,297
2019-09-28,LaLiga,Getafe,loss,1096
2019-09-29,LaLiga,Alavés,win,90
2019-09-29,LaLiga,Sevilla,win,90
2019-10-04,LaLiga,Betis,draw,95
2019-10-05,LaLiga,Real Madrid,win,208
2019-10-05,LaLiga,Valencia,win,24
2019-10-06,LaLiga,Celta Vigo,win,217
2019-10-06,LaLiga,Real Sociedad,loss,283
2019-10-06,LaLiga,Barcelona,win,827
2019-10-19,LaLiga,Getafe,win,1117
2019-10-20,LaLiga,Alavés,win,111
2019-10-20,LaLiga,Real Sociedad,win,297
2019-10-20,LaLiga,Athletic Club,draw,319
2019-10-20,LaLiga,Sevilla,win,111
2020-09-13,LaLiga,Alavés,loss,39
2020-09-13,LaLiga,Villarreal,draw,52
2020-09-13,LaLiga,Valencia,win,48
2021-02-09,LaLiga,Real Madrid,win,701
2021-02-24,LaLiga,Barcelona,win,189
2020-11-21,LaLiga,Villarreal,draw,121
2020-11-21,LaLiga,Sevilla,win,509
2020-11-22,LaLiga,Alavés,draw,109
2020-11-23,LaLiga,Athletic Club,win,719
2020-11-28,LaLiga,Valencia,loss,124
2020-11-28,LaLiga,Real Madrid,loss,628
2020-11-29,LaLiga,Barcelona,win,102
2020-11-29,LaLiga,Getafe,draw,1524
2020-11-29,LaLiga,Celta Vigo,win,17
2020-11-29,LaLiga,Real Sociedad,draw,703
2020-11-30,LaLiga,Betis,loss,121
2020-12-04,LaLiga,Athletic Club,loss,730
2020-12-05,LaLiga,Sevilla,loss,523
2020-12-06,LaLiga,Villarreal,draw,136
2020-12-06,LaLiga,Alavés,draw,123
2020-12-12,LaLiga,Valencia,draw,138
2020-12-12,LaLiga,Getafe,loss,1537
2020-12-12,LaLiga,Real Madrid,win,642
2020-12-13,LaLiga,Real Sociedad,draw,717
2020-12-13,LaLiga,Betis,draw,134
2020-12-13,LaLiga,Barcelona,win,116
2020-12-14,LaLiga,Celta Vigo,win,32
2020-12-18,LaLiga,Athletic Club,win,744
2020-12-19,LaLiga,Barcelona,draw,122
2020-12-19,LaLiga,Sevilla,draw,537
2020-12-20,LaLiga,Celta Vigo,win,38
2020-12-22,LaLiga,Valencia,loss,148
2020-12-22,LaLiga,Real Sociedad,loss,726
2020-12-22,LaLiga,Villarreal,draw,152
2020-12-23,LaLiga,Getafe,draw,1548
2020-12-23,LaLiga,Real Madrid,win,653
2020-12-23,LaLiga,Alavés,win,140
2020-12-23,LaLiga,Betis,win,144
2020-12-29,LaLiga,Sevilla,win,547
2020-12-29,LaLiga,Barcelona,draw,132
2020-12-30,LaLiga,Celta Vigo,win,48
2020-12-31,LaLiga,Athletic Club,loss,757
2021-01-02,LaLiga,Villarreal,win,163
2021-01-02,LaLiga,Betis,draw,154
2021-01-02,LaLiga,Getafe,loss,1558
2021-01-02,LaLiga,Real Madrid,win,663
2021-01-03,LaLiga,Alavés,loss,151
2021-01-03,LaLiga,Real Sociedad,draw,738
2021-01-04,LaLiga,Valencia,draw,161
2021-01-08,LaLiga,Celta Vigo,loss,57
2021-01-09,LaLiga,Sevilla,win,558
2020-12-15,LaLiga,Real Madrid,win,645
2020-12-16,LaLiga,Barcelona,win,119
2021-01-19,LaLiga,Alavés,loss,7
2021-01-20,LaLiga,Getafe,win,1576
2021-01-20,LaLiga,Betis,win,172
2021-01-20,LaLiga,Villarreal,draw,181
2021-01-21,LaLiga,Valencia,draw,178
2020-09-19,LaLiga,Villarreal,win,58
2020-09-19,LaLiga,Getafe,win,1453
2020-09-19,LaLiga,Celta Vigo,win,320
2020-09-20,LaLiga,Betis,win,50
2020-09-20,LaLiga,Real Sociedad,draw,633
2021-01-06,LaLiga,Athletic Club,loss,2
2021-03-17,LaLiga,Sevilla,win,625
2021-01-23,LaLiga,Sevilla,win,572
2021-01-23,LaLiga,Real Sociedad,draw,758
2021-01-23,LaLiga,Alavés,loss,11
2021-01-24,LaLiga,Celta Vigo,draw,73
2021-01-25,LaLiga,Athletic Club,win,21
2021-01-30,LaLiga,Real Madrid,loss,691
2021-01-30,LaLiga,Valencia,win,187
2021-01-30,LaLiga,Villarreal,draw,191
2021-01-31,LaLiga,Getafe,draw,1587
2021-01-31,LaLiga,Barcelona,win,165
2021-02-01,LaLiga,Betis,win,184
2021-02-05,LaLiga,Alavés,win,24
2021-02-06,LaLiga,Sevilla,win,586
2021-02-07,LaLiga,Real Sociedad,win,773
2021-02-07,LaLiga,Athletic Club,draw,34
2021-02-07,LaLiga,Betis,loss,190
2021-02-12,LaLiga,Celta Vigo,win,92
2021-02-13,LaLiga,Sevilla,win,593
2021-02-13,LaLiga,Barcelona,win,178
2021-02-14,LaLiga,Getafe,loss,1601
2021-02-14,LaLiga,Real Madrid,win,706
2021-02-14,LaLiga,Villarreal,loss,206
2021-02-19,LaLiga,Betis,win,202
2021-02-20,LaLiga,Valencia,win,208
2021-02-21,LaLiga,Barcelona,draw,186
2021-02-21,LaLiga,Real Sociedad,win,787
2021-02-21,LaLiga,Athletic Club,draw,48
2021-02-27,LaLiga,Sevilla,loss,607
2021-02-27,LaLiga,Alavés,loss,46
2021-02-27,LaLiga,Getafe,win,1614
2021-02-28,LaLiga,Celta Vigo,draw,108
2021-02-28,LaLiga,Villarreal,loss,220
2021-03-01,LaLiga,Real Madrid,draw,721
2021-03-05,LaLiga,Valencia,win,221
2021-03-07,LaLiga,Real Sociedad,win,801
2021-03-07,LaLiga,Athletic Club,win,62
2021-03-08,LaLiga,Betis,win,219
2021-03-13,LaLiga,Alavés,draw,60
2021-03-13,LaLiga,Real Madrid,win,733
2021-03-13,LaLiga,Getafe,draw,1628
2021-03-14,LaLiga,Celta Vigo,draw,122
2021-03-14,LaLiga,Sevilla,win,622
2021-03-15,LaLiga,Barcelona,win,208
2021-03-19,LaLiga,Betis,win,230
2021-03-20,LaLiga,Athletic Club,draw,75
2021-03-20,LaLiga,Celta Vigo,loss,128
2021-03-21,LaLiga,Getafe,draw,1636
2021-03-21,LaLiga,Valencia,win,237
2021-03-21,LaLiga,Villarreal,win,241
2021-03-21,LaLiga,Real Sociedad,loss,815
2021-04-03,LaLiga,Real Madrid,win,754
2021-04-04,LaLiga,Alavés,loss,82
2021-04-04,LaLiga,Sevilla,win,643
2021-04-05,LaLiga,Barcelona,win,229
2021-04-07,LaLiga,Real Sociedad,draw,832
2020-09-26,LaLiga,Alavés,draw,52
2020-09-26,LaLiga,Valencia,draw,61
2020-09-26,LaLiga,Betis,loss,56
2020-09-27,LaLiga,Barcelona,win,39
2021-04-10,LaLiga,Getafe,loss,1656
2021-04-10,LaLiga,Athletic Club,draw,96
2021-04-10,LaLiga,Real Madrid,win,761
2021-04-11,LaLiga,Villarreal,loss,262
2021-04-11,LaLiga,Valencia,draw,258
2021-04-11,LaLiga,Betis,draw,253
2021-04-12,LaLiga,Celta Vigo,loss,151
2021-04-21,LaLiga,Betis,draw,263
2021-04-21,LaLiga,Alavés,win,16
2021-04-22,LaLiga,Real Sociedad,win,847
2021-04-22,LaLiga,Barcelona,win,246
2021-04-24,LaLiga,Valencia,draw,271
2021-04-24,LaLiga,Real Madrid,draw,775
2021-04-25,LaLiga,Villarreal,loss,276
2021-04-25,LaLiga,Celta Vigo,win,164
2021-04-25,LaLiga,Sevilla,win,664
2021-04-25,LaLiga,Athletic Club,win,111
2021-04-18,LaLiga,Real Sociedad,loss,843
2021-04-18,LaLiga,Alavés,win,13
2021-04-18,LaLiga,Betis,draw,260
2021-04-18,LaLiga,Getafe,draw,1664
2021-04-28,LaLiga,Athletic Club,draw,114
2021-04-29,LaLiga,Barcelona,loss,253
2021-04-30,LaLiga,Celta Vigo,win,169
2021-05-01,LaLiga,Real Madrid,win,782
2021-05-02,LaLiga,Villarreal,win,283
2021-05-02,LaLiga,Valencia,loss,279
2021-05-03,LaLiga,Sevilla,loss,672
2021-05-07,LaLiga,Real Sociedad,win,862
2021-05-08,LaLiga,Alavés,draw,33
2021-05-08,LaLiga,Barcelona,draw,262
2021-05-08,LaLiga,Athletic Club,draw,124
2021-05-09,LaLiga,Getafe,loss,1685
2021-05-09,LaLiga,Villarreal,loss,290
2021-05-09,LaLiga,Real Madrid,draw,790
2021-05-10,LaLiga,Betis,win,282
2021-05-12,LaLiga,Sevilla,win,681
2021-05-12,LaLiga,Celta Vigo,win,181
2021-05-16,LaLiga,Betis,win,288
2021-05-16,LaLiga,Villarreal,win,297
2021-05-16,LaLiga,Real Sociedad,win,871
2021-05-16,LaLiga,Alavés,win,41
2021-05-16,LaLiga,Athletic Club,loss,132
