date,league,team,result,days_in_post
2018-03-11,Premier League,Bournemouth,loss,1974
2018-03-17,Premier League,Bournemouth,win,1980
2018-03-17,Premier League,Liverpool,win,891
2018-04-19,Premier League,Burnley,loss,1997
2018-05-09,Premier League,Tottenham,win,1408
2018-05-09,Premier League,Manchester City,win,677
2018-05-10,Premier League,West Ham,draw,184
2018-03-31,Premier League,Crystal Palace,loss,200
2018-03-31,Premier League,Manchester Utd,win,638
2018-03-31,Premier League,Brighton,loss,1186
2018-03-31,Premier League,West Ham,win,144
2018-03-31,Premier League,Newcastle Utd,win,750
2018-03-31,Premier League,Everton,loss,121
2018-04-01,Premier League,Chelsea,loss,639
2018-04-07,Premier League,Everton,draw,128
2018-04-07,Premier League,Brighton,draw,1193
2018-04-07,Premier League,Manchester City,loss,645
2018-04-08,Premier League,Chelsea,draw,646
2018-04-14,Premier League,Crystal Palace,win,214
2018-04-14,Premier League,Burnley,win,1992
2018-04-14,Premier League,Liverpool,win,919
2018-04-14,Premier League,Tottenham,loss,1383
2018-04-15,Premier League,Newcastle Utd,win,765
2018-04-15,Premier League,Manchester Utd,loss,653
2018-04-16,Premier League,West Ham,draw,160
2018-04-17,Premier League,Brighton,draw,1203
2018-04-22,Premier League,Manchester City,win,660
2018-04-23,Premier League,Everton,win,144
2018-05-09,Premier League,Chelsea,draw,677
2018-04-28,Premier League,Liverpool,draw,933
2018-04-28,Premier League,Newcastle Utd,loss,778
2018-04-28,Premier League,Crystal Palace,win,228
2018-04-29,Premier League,West Ham,loss,173
2018-04-29,Premier League,Manchester Utd,win,667
2018-04-30,Premier League,Tottenham,win,1399
2018-05-04,Premier League,Brighton,win,1220
2018-05-05,Premier League,Everton,draw,156
2018-05-06,Premier League,Manchester City,draw,674
2018-05-06,Premier League,Chelsea,win,674
2018-05-13,Premier League,Liverpool,win,948
2018-05-13,Premier League,Crystal Palace,win,243
2018-05-13,Premier League,West Ham,win,187
2018-05-13,Premier League,Newcastle Utd,win,793
2018-05-13,Premier League,Manchester Utd,win,681
2018-05-13,Premier League,Tottenham,win,1412
2017-09-09,Premier League,Manchester City,win,435
2017-09-09,Premier League,Brighton,win,983
2017-09-10,Premier League,Burnley,win,1776
2017-09-15,Premier League,Bournemouth,win,1797
2017-09-16,Premier League,Crystal Palace,loss,4
2017-09-16,Premier League,Newcastle Utd,win,554
2017-09-16,Premier League,Liverpool,draw,709
2017-09-16,Premier League,Tottenham,draw,1173
2017-09-17,Premier League,Chelsea,draw,443
2017-09-17,Premier League,Manchester Utd,win,443
2017-09-23,Premier League,Manchester City,win,449
2017-09-23,Premier League,Burnley,draw,1789
2017-09-24,Premier League,Brighton,win,998
2017-09-30,Premier League,Manchester Utd,win,456
2017-09-30,Premier League,Bournemouth,draw,1812
2017-09-30,Premier League,Chelsea,loss,456
2017-10-01,Premier League,Newcastle Utd,draw,569
2017-10-14,Premier League,Liverpool,draw,737
2017-10-14,Premier League,Tottenham,win,1201
2017-10-14,Premier League,Burnley,draw,1810
2017-10-14,Premier League,Crystal Palace,win,32
2017-10-14,Premier League,Manchester City,win,470
2017-10-15,Premier League,Brighton,draw,1019
2017-10-21,Premier League,Chelsea,win,477
2017-10-21,Premier League,Manchester City,win,477
2017-10-21,Premier League,Newcastle Utd,win,589
2017-10-22,Premier League,Tottenham,win,1209
2018-08-10,Premier League,Manchester Utd,win,770
2018-08-11,Premier League,Newcastle Utd,loss,883
2018-08-11,Premier League,Fulham,loss,958
2018-08-11,Premier League,Wolves,draw,406
2018-08-12,Premier League,Liverpool,win,1039
2018-08-12,Premier League,Arsenal,loss,42
2018-10-27,Premier League,Brighton,win,1396
2018-10-27,Premier League,Fulham,loss,1035
2018-10-27,Premier League,Liverpool,win,1115
2018-10-28,Premier League,Crystal Palace,draw,411
2018-10-28,Premier League,Manchester Utd,win,849
2018-10-29,Premier League,Tottenham,loss,1581
2018-11-03,Premier League,Everton,win,156
2018-11-03,Premier League,Newcastle Utd,win,967
2018-11-03,Premier League,West Ham,win,125
2018-11-03,Premier League,Arsenal,draw,125
2018-11-03,Premier League,Wolves,loss,490
2018-11-04,Premier League,Manchester City,win,856
2018-11-04,Premier League,Chelsea,win,113
2018-11-10,Premier League,Newcastle Utd,win,974
2018-11-10,Premier League,Crystal Palace,loss,424
2018-11-11,Premier League,Liverpool,win,1130
2018-11-11,Premier League,Chelsea,draw,120
2018-11-11,Premier League,Arsenal,draw,133
2018-11-11,Premier League,Manchester City,win,863
2018-11-24,Premier League,Manchester Utd,draw,876
2018-11-24,Premier League,Fulham,win,10
2018-11-24,Premier League,West Ham,loss,146
2018-11-24,Premier League,Brighton,draw,1424
2018-11-24,Premier League,Everton,win,177
2018-11-24,Premier League,Tottenham,win,1607
2018-11-25,Premier League,Wolves,loss,512
2018-12-01,Premier League,Newcastle Utd,loss,995
2018-12-01,Premier League,Crystal Palace,win,445
2018-12-01,Premier League,Manchester City,win,883
2018-12-02,Premier League,Chelsea,win,141
2018-12-02,Premier League,Arsenal,win,154
2018-12-02,Premier League,Liverpool,win,1151
2018-12-04,Premier League,West Ham,win,156
2018-12-04,Premier League,Brighton,win,1434
2018-12-05,Premier League,Wolves,win,522
2018-12-05,Premier League,Fulham,draw,21
2018-12-05,Premier League,Everton,draw,188
2018-12-05,Premier League,Manchester Utd,draw,887
2018-12-05,Premier League,Tottenham,win,1618
2018-12-08,Premier League,West Ham,win,160
2018-12-08,Premier League,Manchester Utd,win,890
2018-12-08,Premier League,Arsenal,win,160
2018-12-08,Premier League,Chelsea,win,147
2018-12-09,Premier League,Newcastle Utd,loss,1003
2018-12-10,Premier League,Everton,draw,193
2018-12-15,Premier League,Manchester City,win,897
2018-12-15,Premier League,Tottenham,win,1628
2018-12-15,Premier League,Crystal Palace,win,459
2018-12-15,Premier League,Wolves,win,532
2018-12-15,Premier League,Fulham,loss,31
2018-12-16,Premier League,Brighton,loss,1446
2018-12-16,Premier League,Liverpool,win,1165
2018-12-21,Premier League,Wolves,loss,538
2018-12-22,Premier League,Arsenal,win,174
2018-12-22,Premier League,Manchester City,loss,904
2018-12-22,Premier League,West Ham,loss,174
2018-12-22,Premier League,Chelsea,loss,161
2018-12-22,Premier League,Newcastle Utd,draw,1016
2018-12-23,Premier League,Everton,loss,206
2018-12-26,Premier League,Fulham,draw,42
2018-12-26,Premier League,Liverpool,win,1175
2018-12-26,Premier League,Tottenham,win,1639
2018-12-26,Premier League,Crystal Palace,draw,470
2018-12-26,Premier League,Brighton,draw,1456
2018-08-18,Premier League,West Ham,loss,48
2018-08-18,Premier League,Everton,win,79
2018-08-18,Premier League,Tottenham,win,1509
2018-08-18,Premier League,Chelsea,win,35
2018-08-19,Premier League,Manchester City,win,779
2018-08-19,Premier League,Brighton,win,1327
2018-08-20,Premier League,Crystal Palace,loss,342
2018-12-29,Premier League,Fulham,win,45
2018-12-29,Premier League,Brighton,win,1459
2018-12-29,Premier League,Tottenham,loss,1642
2018-12-29,Premier League,Liverpool,win,1178
2018-12-30,Premier League,Crystal Palace,loss,474
2019-01-01,Premier League,Everton,loss,215
2019-01-01,Premier League,Arsenal,win,184
